Year,Program,ID#,Date,Time,Site/Captain,Lat,Long,Depth (m),Secchi (m),Water Temp at 1 meter (C),Water Sample Method,Total Microcystins (µg/L),Chlorophyll (µg/L),TSS (g/L),NVSS (g/L),AFDW (g/L),Nitrate+NO2 (µmol/L),Ammonium (µmol/L),Nitrite (µmol/L),DRP (µmol/L),Silicate (µmol/L),Nitrate (µmol/L),TP (µmol/L),TKN (µmol/L),TN (µmol/L),TN:TP (molar),Green algae-chla µg/l,Bluegreen algae-chla µg/l,Diatoms-chla µg/l,Cryptophytes-chla µg/l,Yellow substances µg/l,FluoroProbe total chla µg/l,Nitrate+NO2 (µg N/L),Ammonium (µg N/L),Nitrite (µg N/L),DRP (µg P/L),Silicate (µg Si/L),Nitrate (µg N/L),TP (µg P/L),TKN (µg N/L),TN (µg N/L),TN:TP (mass)
2013,Charter Captains,2013CC001,7/15/2013,13:05,D. Lowther,41.64808,-83.09892,5.49,2.37,27.11,0-2 meter intergraded,0.62,8.08,0.00360,0.00070,0.00290,34.468,0.070,0.527,0.000,1.807,34.714,0.868,,,,,,,,,,482.79,0.98,7.38,0.00,50.75,486.24,26.90,,,
2013,Charter Captains,2013CC002,7/15/2013,13:35,P. Pacholski,41.55957,-82.91275,6.28,2.00,26.11,0-2 meter intergraded,0.68,7.85,0.00693,0.00187,0.00507,36.281,1.837,0.549,0.000,7.618,36.547,0.705,,,,,,,,,,508.19,25.73,7.69,0.00,213.96,511.91,21.85,,,
2013,Charter Captains,2013CC003,7/15/2013,10:00,D. Spangler,41.70483,-83.26417,5.18,1.98,25.33,0-2 meter intergraded,0.73,6.52,0.00613,0.00107,0.00507,39.158,1.095,0.627,0.000,7.672,39.400,0.455,,,,,,,,,,548.49,15.34,8.78,0.00,215.48,551.88,14.10,,,
2013,Charter Captains,2013CC004,7/15/2013,14:00,J. Tucholski,41.61907,-82.93282,7.01,4.00,25.00,0-2 meter intergraded,0.36,2.91,0.00290,0.00050,0.00240,15.851,1.011,0.297,0.000,5.195,15.893,0.275,,,,,,,,,,222.02,14.16,4.16,0.00,145.91,222.61,8.53,,,
2013,Charter Captains,2013CC005,7/22/2013,10:45,D. Spangler,41.64872,-83.09860,5.33,2.30,25.78,0-2 meter intergraded,0.37,3.87,0.00227,0.00053,0.00173,33.641,1.720,0.475,0.000,10.016,33.932,0.516,,,,,,,,,,471.21,24.09,6.65,0.00,281.31,475.29,15.99,,,
2013,Charter Captains,2013CC006,7/22/2013,15:00,R. Unger,41.56917,-82.76800,7.01,1.98,25.56,0-2 meter intergraded,0.50,7.85,0.00347,0.00147,0.00200,36.821,2.409,0.604,0.087,6.410,37.030,0.756,,,,,,,,,,515.75,33.74,8.46,2.69,180.03,518.68,23.43,,,
2013,Charter Captains,2013CC007,7/29/2013,11:16,P. Pacholski,41.70383,-83.24183,6.55,2.00,21.94,0-2 meter intergraded,1.34,9.42,0.00587,0.00133,0.00453,92.030,2.299,1.227,0.042,9.310,92.919,1.024,,,,,,,,,,1289.06,32.20,17.19,1.30,261.48,1301.52,31.73,,,
2013,Charter Captains,2013CC008,7/29/2013,11:45,D. Spangler,41.64930,-83.09838,5.06,2.74,21.83,0-2 meter intergraded,1.31,4.71,0.00387,0.00173,0.00213,50.334,1.260,0.451,0.000,12.006,51.105,0.639,,,,,,,,,,705.03,17.65,6.32,0.00,337.20,715.83,19.80,,,
2013,Charter Captains,2013CC009,7/29/2013,12:20,D. Lowther,41.56235,-82.89247,5.21,1.76,23.06,0-2 meter intergraded,1.23,4.60,0.00613,0.00160,0.00453,33.371,2.647,0.424,0.199,4.139,33.721,0.762,,,,,,,,,,467.43,37.08,5.94,6.16,116.25,472.33,23.61,,,
2013,Charter Captains,2013CC010,7/29/2013,12:05,D. Lowther,41.57435,-82.94498,6.74,1.27,22.33,0-2 meter intergraded,0.45,14.13,0.01213,0.00667,0.00547,31.536,1.990,0.531,0.023,2.433,31.697,1.046,,,,,,,,,,441.72,27.87,7.44,0.71,68.33,443.98,32.41,,,
2013,Charter Captains,2013CC011,7/29/2013,14:30,R. Unger,41.56903,-82.76773,6.40,1.07,22.22,0-2 meter intergraded,1.51,36.78,0.01200,0.00440,0.00760,42.663,0.932,1.223,0.067,6.490,42.227,1.619,,,,,,,,,,597.58,13.05,17.13,2.08,182.28,591.47,50.16,,,
2013,Charter Captains,2013CC012,8/5/2013,,P. Pacholski,41.69417,-83.26398,5.18,0.81,22.39,0-2 meter intergraded,23.99,86.53,0.01947,0.00480,0.01467,159.668,0.000,1.355,0.023,8.844,162.215,3.462,,,,,,,,,,2236.47,0.00,18.98,0.71,248.39,2272.15,107.24,,,
2013,Charter Captains,2013CC013,8/5/2013,13:58,D. Spangler,41.64808,-83.09890,8.23,0.30,22.78,0-2 meter intergraded,2.84,14.97,0.00547,0.00160,0.00387,48.863,0.175,0.801,0.000,6.257,49.142,0.891,,,,,,,,,,684.42,2.45,11.22,0.00,175.73,688.33,27.61,,,
2013,Charter Captains,2013CC014,8/5/2013,14:36,D. Lowther,41.56065,-82.88750,5.03,1.83,22.39,0-2 meter intergraded,2.09,14.85,0.00653,0.00267,0.00387,54.765,0.000,0.671,0.000,4.027,55.372,1.320,,,,,,,,,,767.09,0.00,9.40,0.00,113.10,775.60,40.90,,,
