Year,Month,TN:TP (molar)
2018,5,110.3995
2018,6,108.6482962962963
2018,7,82.48392
2018,8,61.76296774193548
2018,9,40.84015384615385
2018,10,39.94593333333333
2019,5,90.20328571428571
2019,6,135.29954285714288
2019,7,186.89648979591837
2019,8,72.00436666666666
2019,9,39.2225625
2019,10,59.82322222222222
2020,6,123.5705
2020,7,133.28786363636365
2020,8,51.160378378378375
2020,9,36.723555555555556
2020,10,35.8949
2021,6,164.453
2022,5,111.47644444444444
2022,6,187.6177894736842
2022,7,121.2211111111111
2022,8,68.79333333333334
2022,9,41.70538888888889
2022,10,30.8875
